#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.030000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.538458     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.2950 0.1454E+00 0.3738E+00 0.3971E+00 0.5773E+01 0.7102E-01
 -0.3000 0.1479E+00 0.3768E+00 0.3767E+00 0.5470E+01 0.6967E-01
 -0.3050 0.1504E+00 0.3799E+00 0.3577E+00 0.5187E+01 0.6837E-01
 -0.3100 0.1529E+00 0.3829E+00 0.3398E+00 0.4922E+01 0.6711E-01
 -0.3150 0.1554E+00 0.3859E+00 0.3231E+00 0.4674E+01 0.6588E-01
 -0.3200 0.1579E+00 0.3889E+00 0.3075E+00 0.4442E+01 0.6470E-01
 -0.3250 0.1604E+00 0.3918E+00 0.2928E+00 0.4225E+01 0.6355E-01
 -0.3300 0.1629E+00 0.3948E+00 0.2790E+00 0.4021E+01 0.6243E-01
 -0.3350 0.1654E+00 0.3976E+00 0.2660E+00 0.3830E+01 0.6135E-01
 -0.3400 0.1679E+00 0.4005E+00 0.2538E+00 0.3650E+01 0.6029E-01
 -0.3450 0.1704E+00 0.4034E+00 0.2423E+00 0.3481E+01 0.5927E-01
 -0.3500 0.1729E+00 0.4062E+00 0.2315E+00 0.3321E+01 0.5828E-01
 -0.3550 0.1754E+00 0.4090E+00 0.2213E+00 0.3171E+01 0.5732E-01
 -0.3600 0.1779E+00 0.4118E+00 0.2117E+00 0.3030E+01 0.5638E-01
 -0.3650 0.1804E+00 0.4145E+00 0.2026E+00 0.2896E+01 0.5547E-01
 -0.3700 0.1829E+00 0.4172E+00 0.1940E+00 0.2770E+01 0.5458E-01
 -0.3750 0.1854E+00 0.4200E+00 0.1859E+00 0.2651E+01 0.5372E-01
 -0.3800 0.1879E+00 0.4227E+00 0.1782E+00 0.2539E+01 0.5288E-01
 -0.3850 0.1904E+00 0.4253E+00 0.1709E+00 0.2432E+01 0.5206E-01
 -0.3900 0.1929E+00 0.4280E+00 0.1640E+00 0.2331E+01 0.5127E-01
 -0.3950 0.1954E+00 0.4306E+00 0.1575E+00 0.2235E+01 0.5049E-01
 -0.4000 0.1979E+00 0.4332E+00 0.1513E+00 0.2145E+01 0.4974E-01
 -0.4050 0.2004E+00 0.4358E+00 0.1454E+00 0.2059E+01 0.4900E-01
 -0.4100 0.2029E+00 0.4384E+00 0.1398E+00 0.1977E+01 0.4829E-01
 -0.4150 0.2054E+00 0.4410E+00 0.1345E+00 0.1900E+01 0.4759E-01
 -0.4200 0.2079E+00 0.4435E+00 0.1294E+00 0.1826E+01 0.4690E-01
 -0.4250 0.2104E+00 0.4460E+00 0.1246E+00 0.1756E+01 0.4624E-01
 -0.4300 0.2129E+00 0.4485E+00 0.1200E+00 0.1690E+01 0.4559E-01
 -0.4350 0.2154E+00 0.4510E+00 0.1156E+00 0.1626E+01 0.4496E-01
 -0.4400 0.2179E+00 0.4535E+00 0.1115E+00 0.1566E+01 0.4434E-01
 -0.4450 0.2204E+00 0.4559E+00 0.1075E+00 0.1508E+01 0.4374E-01
 -0.4500 0.2229E+00 0.4584E+00 0.1037E+00 0.1453E+01 0.4315E-01
 -0.4550 0.2254E+00 0.4608E+00 0.1001E+00 0.1401E+01 0.4257E-01
 -0.4600 0.2279E+00 0.4632E+00 0.9662E-01 0.1351E+01 0.4201E-01
 -0.4650 0.2304E+00 0.4656E+00 0.9331E-01 0.1304E+01 0.4146E-01
 -0.4700 0.2329E+00 0.4680E+00 0.9016E-01 0.1258E+01 0.4093E-01
 -0.4750 0.2354E+00 0.4704E+00 0.8714E-01 0.1215E+01 0.4040E-01
 -0.4800 0.2379E+00 0.4727E+00 0.8425E-01 0.1173E+01 0.3989E-01
 -0.4850 0.2404E+00 0.4751E+00 0.8148E-01 0.1133E+01 0.3939E-01
 -0.4900 0.2429E+00 0.4774E+00 0.7883E-01 0.1095E+01 0.3890E-01
 -0.4950 0.2454E+00 0.4797E+00 0.7630E-01 0.1059E+01 0.3842E-01
 -0.5000 0.2479E+00 0.4820E+00 0.7386E-01 0.1024E+01 0.3795E-01
 -0.5050 0.2504E+00 0.4843E+00 0.7153E-01 0.9904E+00 0.3749E-01
 -0.5100 0.2529E+00 0.4865E+00 0.6929E-01 0.9584E+00 0.3704E-01
 -0.5150 0.2554E+00 0.4888E+00 0.6715E-01 0.9277E+00 0.3660E-01
 -0.5200 0.2579E+00 0.4910E+00 0.6509E-01 0.8982E+00 0.3616E-01
 -0.5250 0.2604E+00 0.4933E+00 0.6311E-01 0.8699E+00 0.3574E-01
 -0.5300 0.2629E+00 0.4955E+00 0.6120E-01 0.8428E+00 0.3533E-01
 -0.5350 0.2654E+00 0.4977E+00 0.5938E-01 0.8167E+00 0.3492E-01
 -0.5400 0.2679E+00 0.4999E+00 0.5762E-01 0.7917E+00 0.3453E-01
 -0.5450 0.2704E+00 0.5021E+00 0.5593E-01 0.7677E+00 0.3414E-01
 -0.5500 0.2729E+00 0.5042E+00 0.5430E-01 0.7445E+00 0.3376E-01
 -0.5550 0.2754E+00 0.5064E+00 0.5274E-01 0.7223E+00 0.3338E-01
 -0.5600 0.2779E+00 0.5085E+00 0.5123E-01 0.7009E+00 0.3302E-01
 -0.5650 0.2804E+00 0.5107E+00 0.4978E-01 0.6803E+00 0.3266E-01
 -0.5700 0.2829E+00 0.5128E+00 0.4839E-01 0.6605E+00 0.3230E-01
 -0.5750 0.2854E+00 0.5149E+00 0.4704E-01 0.6415E+00 0.3196E-01
 -0.5800 0.2879E+00 0.5170E+00 0.4574E-01 0.6231E+00 0.3162E-01
 -0.5850 0.2904E+00 0.5191E+00 0.4449E-01 0.6054E+00 0.3129E-01
 -0.5900 0.2929E+00 0.5212E+00 0.4328E-01 0.5884E+00 0.3096E-01
 -0.5950 0.2954E+00 0.5232E+00 0.4212E-01 0.5719E+00 0.3064E-01
 -0.6000 0.2979E+00 0.5253E+00 0.4099E-01 0.5561E+00 0.3033E-01
 -0.6050 0.3004E+00 0.5274E+00 0.3991E-01 0.5408E+00 0.3002E-01
 -0.6100 0.3029E+00 0.5294E+00 0.3886E-01 0.5260E+00 0.2971E-01
 -0.6150 0.3054E+00 0.5314E+00 0.3785E-01 0.5118E+00 0.2942E-01
 -0.6200 0.3079E+00 0.5334E+00 0.3687E-01 0.4980E+00 0.2913E-01
 -0.6250 0.3104E+00 0.5355E+00 0.3593E-01 0.4848E+00 0.2884E-01
 -0.6300 0.3129E+00 0.5375E+00 0.3501E-01 0.4719E+00 0.2856E-01
 -0.6350 0.3154E+00 0.5394E+00 0.3413E-01 0.4595E+00 0.2828E-01
 -0.6400 0.3179E+00 0.5414E+00 0.3327E-01 0.4476E+00 0.2801E-01
 -0.6450 0.3204E+00 0.5434E+00 0.3245E-01 0.4360E+00 0.2774E-01
 -0.6500 0.3229E+00 0.5454E+00 0.3165E-01 0.4248E+00 0.2748E-01
 -0.6550 0.3254E+00 0.5473E+00 0.3087E-01 0.4140E+00 0.2722E-01
 -0.6600 0.3279E+00 0.5493E+00 0.3012E-01 0.4035E+00 0.2697E-01
 -0.6650 0.3304E+00 0.5512E+00 0.2940E-01 0.3934E+00 0.2672E-01
