#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.100000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.458118     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
  0.3050 0.1504E+00 0.3799E+00 0.4148E+00 0.1892E+01 0.5817E-01
  0.3100 0.1529E+00 0.3829E+00 0.4072E+00 0.1796E+01 0.5710E-01
  0.3150 0.1554E+00 0.3859E+00 0.3997E+00 0.1706E+01 0.5605E-01
  0.3200 0.1579E+00 0.3889E+00 0.3925E+00 0.1621E+01 0.5504E-01
  0.3250 0.1604E+00 0.3918E+00 0.3856E+00 0.1542E+01 0.5407E-01
  0.3300 0.1629E+00 0.3948E+00 0.3788E+00 0.1467E+01 0.5312E-01
  0.3350 0.1654E+00 0.3976E+00 0.3722E+00 0.1397E+01 0.5219E-01
  0.3400 0.1679E+00 0.4005E+00 0.3658E+00 0.1332E+01 0.5130E-01
  0.3450 0.1704E+00 0.4034E+00 0.3596E+00 0.1270E+01 0.5043E-01
  0.3500 0.1729E+00 0.4062E+00 0.3536E+00 0.1212E+01 0.4959E-01
  0.3550 0.1754E+00 0.4090E+00 0.3478E+00 0.1157E+01 0.4876E-01
  0.3600 0.1779E+00 0.4118E+00 0.3421E+00 0.1106E+01 0.4797E-01
  0.3650 0.1804E+00 0.4145E+00 0.3365E+00 0.1057E+01 0.4719E-01
  0.3700 0.1829E+00 0.4172E+00 0.3312E+00 0.1011E+01 0.4644E-01
  0.3750 0.1854E+00 0.4200E+00 0.3259E+00 0.9674E+00 0.4570E-01
  0.3800 0.1879E+00 0.4227E+00 0.3208E+00 0.9263E+00 0.4499E-01
  0.3850 0.1904E+00 0.4253E+00 0.3159E+00 0.8874E+00 0.4429E-01
  0.3900 0.1929E+00 0.4280E+00 0.3111E+00 0.8506E+00 0.4362E-01
  0.3950 0.1954E+00 0.4306E+00 0.3064E+00 0.8157E+00 0.4296E-01
  0.4000 0.1979E+00 0.4332E+00 0.3018E+00 0.7826E+00 0.4232E-01
  0.4050 0.2004E+00 0.4358E+00 0.2973E+00 0.7513E+00 0.4169E-01
